price_per_unit,quality_score,delivery_time_days,on_time_delivery_rate,defect_rate,return_rate,delivery_mode,lead_time_variance,forecast_accuracy,seasonality_index,demand_volatility_index,order_frequency_monthly,avg_order_volume,payment_term_days,offer_validity_days,procurement_action_code,delivery_term_code,items_requested,items_offered,temporal_month,supplier_reliability_score,selected_supplier_flag
218.54,3.28,13,0.82,0.01,0.04,Sea,2.67,0.64,1.03,0.03,15,3677.39,30,46,3,0,885,423,9,0.6,1
477.82,5.05,2,0.89,0.06,0.02,Road,1.68,0.85,0.84,0.27,44,4533.31,45,19,0,2,941,608,11,0.34,0
379.4,9.62,2,0.71,0.07,0.04,Sea,1.66,0.7,1.03,0.9,12,2983.06,90,58,2,2,746,683,1,0.33,0
319.4,4.59,15,0.72,0.02,0.02,Road,4.49,0.92,1.18,0.13,2,7687.09,90,15,3,2,275,890,3,0.87,1
120.21,8.56,23,0.84,0.04,0.05,Road,2.26,0.76,0.94,0.33,9,4154.52,45,11,3,0,171,895,1,0.54,0
120.2,2.7,29,0.86,0.09,0.04,Air,2.03,0.78,1.06,0.32,35,8881.56,45,49,2,0,54,869,6,0.27,0
76.14,7.05,17,0.97,0.02,0.05,Air,0.2,0.86,1.18,0.8,1,9639.53,15,13,2,0,840,10,1,0.54,0
439.78,9.79,7,0.73,0.07,0.03,Air,1.82,0.9,1.12,0.42,46,8612.09,45,44,3,1,790,377,2,0.27,0
320.5,1.92,28,0.95,0.07,0.02,Air,4.25,0.69,1.08,0.61,31,5273.99,45,50,1,3,34,932,9,0.19,0
368.63,1.07,14,0.76,0.04,0.04,Air,3.8,0.99,1.19,0.4,28,5147.1,30,50,2,1,904,640,11,0.28,1
59.26,4.9,12,0.82,0.09,0.04,Sea,1.1,0.85,0.87,0.55,45,2237.14,90,44,1,1,309,385,1,0.63,1
486.46,1.83,17,0.79,0.07,0.05,Sea,2.07,0.6,1.11,0.06,37,5963.55,15,37,3,2,234,775,4,0.52,1
424.6,7.74,14,0.82,0.05,0.02,Sea,0.98,0.77,0.96,0.37,7,9531.98,60,10,0,2,83,200,6,0.16,0
145.55,9.23,6,0.75,0.06,0.04,Sea,4.77,0.77,0.94,0.86,46,898,15,19,1,3,125,299,2,0.91,1
131.82,4.91,19,0.85,0.07,0.01,Air,2.99,0.92,1.01,0.69,16,7549.33,90,50,1,3,161,872,1,0.5,0
132.53,3.33,24,0.94,0.06,0.03,Sea,3.77,0.72,0.81,0.98,14,8708.44,60,21,1,0,590,809,4,0.79,0
186.91,4.91,6,0.83,0.09,0.01,Sea,3.57,0.73,0.93,0.79,33,9868.36,45,46,1,2,723,637,3,0.33,0
286.14,7.51,27,0.85,0.04,0.02,Road,4.37,0.63,0.87,0.45,6,3414.1,30,19,1,1,824,208,7,0.96,0
244.38,1.08,18,0.95,0.03,0.05,Air,4.75,0.71,0.86,0.68,21,3620.18,30,49,1,3,100,244,7,0.75,0
181.05,6.31,24,0.91,0.02,0.01,Sea,0.16,0.89,0.93,0.78,10,2374.77,90,49,0,3,571,239,12,0.45,0
325.33,6.52,5,0.85,0,0.03,Sea,4.88,0.85,1.12,0.27,32,7911.73,90,49,0,1,893,235,10,0.9,1
112.77,6.74,24,0.78,0,0.03,Sea,4.35,0.63,0.88,0.06,6,1486.39,30,32,0,0,941,439,11,0.72,0
181.47,3.18,24,0.97,0.09,0.01,Air,1.91,0.65,1.01,0.41,2,2750.89,60,25,1,2,298,205,7,0.43,1
214.86,7.43,6,0.87,0.07,0.02,Sea,4.19,0.75,1.1,0.14,39,3023.1,60,59,3,2,101,476,9,0.97,1
255.23,1.82,2,0.77,0.07,0.03,Road,3.68,0.9,0.9,0.28,49,3811.81,15,55,2,1,881,450,9,0.3,0
403.33,2.79,8,0.78,0.06,0.01,Air,3.97,0.93,1.17,0.95,27,4274.48,45,7,1,0,756,799,4,0.26,0
139.85,8.9,15,0.94,0.08,0.04,Road,1.1,0.61,1.15,0.85,14,5634.35,60,19,0,1,396,166,9,0.89,0
281.41,7.65,15,0.71,0.05,0.05,Air,3.24,0.73,0.9,0.59,23,9488.9,45,31,3,2,424,491,11,0.71,1
316.59,1.12,11,1,0.09,0.01,Sea,0.13,0.77,1.2,0.4,39,2548.07,90,26,3,1,837,363,7,0.35,0
70.9,3.24,22,0.74,0.04,0.01,Air,4.24,0.96,1.07,0.26,21,7814.28,60,47,1,1,550,822,6,0.23,0
323.4,2.93,22,0.94,0.09,0.02,Air,4.76,0.8,0.91,0.57,41,6796.26,60,29,0,2,181,694,11,0.18,1
126.74,3.44,24,0.82,0.07,0.04,Air,3.31,0.71,1.07,0.53,30,1248.9,60,30,2,2,694,844,9,0.31,1
79.27,3.23,1,0.85,0.03,0.01,Road,2.56,0.76,1.07,0.78,25,8122.73,15,49,2,2,381,542,4,0.13,0
477,1.56,18,0.96,0.06,0,Air,3.63,0.77,1.04,0.93,24,997.06,90,47,0,1,507,517,1,0.15,0
484.53,5.13,12,0.82,0.05,0.03,Sea,1.63,0.87,1.08,0.33,11,7415.37,30,55,0,1,245,414,6,0.78,1
413.78,7.59,12,0.86,0.01,0.05,Air,3.13,0.62,0.91,0.21,35,7186.29,15,45,3,1,51,709,1,0.06,0
187.08,6.46,25,0.71,0.06,0.02,Air,3.59,0.76,1.19,0.4,4,6925.08,15,46,1,0,158,986,10,0.44,1
93.95,7.06,11,0.7,0.03,0.02,Sea,0.71,0.86,1.14,0.44,37,2839.25,60,36,1,3,809,806,9,0.4,0
357.9,1.73,28,0.77,0.01,0.05,Sea,0.7,0.71,1.1,0.04,36,5776.33,15,40,1,0,933,298,5,0.96,1
248.07,9.56,8,0.9,0.09,0.03,Road,3.58,0.84,0.81,0.86,13,7639.62,30,52,2,3,734,688,2,0.47,0
104.92,8.55,28,0.74,0.06,0.04,Sea,2.16,0.74,1.04,1,9,6412.16,15,16,2,2,696,711,12,0.16,1
272.83,8.25,7,0.73,0.09,0.03,Sea,4.45,0.9,1.08,0.92,28,8062.63,15,47,2,3,620,99,8,0.09,0
65.47,8.41,23,0.82,0.07,0.05,Sea,1.56,0.62,1.14,0.86,46,6910.04,60,7,1,0,487,391,10,0.73,1
459.19,9.39,21,0.89,0.04,0.03,Air,0.21,0.97,1.18,0.99,16,2817.05,90,18,0,2,129,976,11,0.15,1
166.45,5.9,2,0.91,0.05,0.04,Road,3.25,0.67,1.17,0.91,6,1615.26,30,52,0,3,824,310,6,0.94,0
348.14,2.8,11,0.75,0.07,0.03,Sea,3.42,0.66,0.96,0.69,27,6356.59,60,57,1,3,538,451,3,0.56,1
190.27,6.55,22,0.72,0.1,0.04,Sea,2.77,0.94,1.16,0.17,10,7621.61,15,35,1,3,550,511,11,0.4,0
